id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
layer-1,Layer 1 (L1),908915153230.5691,-1.4174606899162576,,"['https://assets.coingecko.com/coins/images/1/small/bitcoin.png?1547033579', 'https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850']",41847684044.33716,2023-04-19T17:45:31.066Z
smart-contract-platform,Smart Contract Platform,384603078530.9825,-4.498347051615868,"Smart contract platforms are usually blockchains that host smart contracts or decentralized applications. Users can interact with different smart contracts on these platforms to perform various actions such as lending and borrowing funds, staking their assets or minting NFTs.

Smart contracts are programs that are stored on the blockchain and are automatically executed when certain conditions are met. To interact with these smart contracts, transaction fees may need to be paid and the amount and asset required will vary based on the platform’s architecture. Usually, the smart contract platform’s native token is used to pay for transaction fees. Some popular examples of smart contract platforms include Ethereum, Solana and Polygon.","['https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860']",23141990413.665787,2023-04-19T17:45:20.186Z
binance-smart-chain,BNB Chain Ecosystem,251889863681.3572,-2.2219745822418835,"BNB Chain is an alternative blockchain that is similar to Ethereum, capable of hosting smart contracts and decentralized applications. It was launched by Binance in September 2020 as the Binance Smart Chain, and relaunched in Feburary 2022 as BNB Chain. BNB uses the Proof-of-Staked-Authority model which has allowed for low transaction fees and higher throughput. 

Compared to Ethereum which would usually cost hundreds to make a few transactions, BNB only charges less than a few dollars. BNB supports the BEP-20 token format, which is essentially the same format as ERC-20 but on a different chain, and transaction fees are paid in Binance’s native exchange token, BNB.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389']",57732733325.37642,2023-04-19T17:45:26.201Z
stablecoins,Stablecoins,131852381635.46649,-0.25435840978762253,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",48127907565.98038,2023-04-19T17:45:22.449Z
exchange-based-tokens,Exchange-based Tokens,75821395100.26997,-3.5206208327250383,"These tokens are normally associated with both centralized and decentralized exchanges and have different purposes. For centralized exchanges, these tokens usually serve to lower trading fees for users. Traders get to enjoy discounted rates when they hold a certain amount of these tokens and even unlock special benefits such as free withdrawals and airdrops. On the other hand, these tokens also function as a governance token for decentralized exchanges. Users can vote on proposals to shape the direction of the protocol based on the number of tokens held. They can also be staked to accrue trading fees.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604', 'https://assets.coingecko.com/coins/images/4463/small/WeChat_Image_20220118095654.png?1642471050']",2405287222.9149075,2023-04-19T17:45:21.822Z
centralized-exchange-token-cex,Centralized Exchange (CEX),64850436961.13888,-3.4812699153101994,"These utility tokens are issued by a centralized exchange and can be used for a variety of purposes. Although holders are not able to exercise governance, they still carry many other benefits. Based on the amount of tokens held, users on the exchange get to enjoy discounted trading fees. Additionally, stakers can gain access to exclusive token sales on the exchange, where their allocation is also determined based on the number of exchange tokens staked.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/4463/small/WeChat_Image_20220118095654.png?1642471050', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215']",1371920538.9110808,2023-04-19T17:45:08.602Z
decentralized-finance-defi,Decentralized Finance (DeFi),52644589815.80257,-4.207765316987542,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/9956/small/4943.png?1636636734', 'https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604']",3245000303.6212597,2023-04-19T17:45:19.602Z
meme-token,Meme,20500079930.172073,-2.5186408443956982,"Meme coins derive their relevance from memes, thriving on hype and picking up momentum as the community grows.","['https://assets.coingecko.com/coins/images/5/small/dogecoin.png?1547792256', 'https://assets.coingecko.com/coins/images/11939/small/shiba.png?1622619446', 'https://assets.coingecko.com/coins/images/16125/small/babydoge.jpg?1676303229']",1930593484.7790635,2023-04-19T17:45:27.594Z
non-fungible-tokens-nft,NFT,18733128769.394806,-0.24394900888605625,"Non-fungible tokens, or NFTs, are collectible elements within the Ethereum blockchain that usually follow the ERC-721 or ERC-1155 standard. They represent something unique and therefore are not mutually interchangeable. In other words, no non-fungible token is the same. NFTs take advantage of innovative smart contract technology to store and record unique information on the blockchain, which means that whenever an NFT is created, only one of it verifiably exists. NFT creators can also encrypt details such as rich metadata or secure file links allowing people to create all sorts of digital assets which are verifiable such as videos and songs. With NFTs, one can digitally certify that an asset is authentic.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/24383/small/apecoin.jpg?1647476455', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942']",2587573927.483245,2023-04-19T17:45:28.003Z
governance,Governance,16991948202.562881,0.9475590763600691,"Governance tokens are used to determine the direction or decisions taken by a protocol. A protocol’s team or even its community members can create proposals to introduce new features or even change the terms of governance itself. Once a proposal has been discussed and further fleshed out, token holders can vote on the decision to be made. The weight of your votes is determined based on the number of governance tokens held. ","['https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604', 'https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110']",1391489505.5644689,2023-04-19T17:45:21.116Z
layer-2,Layer 2 (L2),14846442736.570961,-4.166589532446449,,"['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/16547/small/photo_2023-03-29_21.47.00.jpeg?1680097630', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648']",2283234954.2720017,2023-04-19T17:45:30.797Z
zero-knowledge-zk,Zero Knowledge (ZK),13868777812.18985,-4.55091604930387,"Zero-knowledge proof or Zero-knowledge protocol is a method by which one party (the prover) can prove to another party (the verifier) that a given statement is true while the prover avoids conveying any additional information apart from the fact that the statement is indeed true.

This category tracks cryptocurrency that utilises Zero Knowledge implementation to execute transactions, which may include smart contract execution, value transfer, and others.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648', 'https://assets.coingecko.com/coins/images/15628/small/JM4_vQ34_400x400.png?1621394004']",774358161.8728918,2023-04-19T17:45:09.806Z
liquid-staking-tokens,Liquid Staking Tokens,13582205872.422306,-3.902475979871936,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/20764/small/reth.png?1637652366', 'https://assets.coingecko.com/coins/images/28284/small/frxETH_icon.png?1679886981']",60286127.47559241,2023-04-19T17:45:26.473Z
eth-2-0-staking,Eth 2.0 Staking,12337263447.630829,-4.004828772340076,"In Ethereum 2.0, the consensus algorithm is transitioned from Proof-of-Work to Proof-of-Stake, allowing users to stake their Ether and validate transactions in exchange for staking rewards. When you participate in ETH 2.0 staking solutions, you will usually receive a token which represents your staked assets but are also liquid and can be used in other protocols. Here, you can find different tokens which represent staked Ether from various protocols.","['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/4324/small/U85xTl2.png?1608111978', 'https://assets.coingecko.com/coins/images/13403/small/aETHc.png?1625756490']",128458495.7754458,2023-04-19T17:45:05.835Z
gaming,Gaming (GameFi),12173975276.732798,2.048420917024732,,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/24383/small/apecoin.jpg?1647476455', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942']",1693152381.405872,2023-04-19T17:45:29.149Z
decentralized-exchange,Decentralized Exchange (DEX),11782941574.26954,-3.7052094478833055,"Decentralized exchanges, or DEXs, allow users to trade with one another in a permissionless manner and without any intermediaries. As long as someone provides liquidity, anyone can purchase and sell that token on the exchange. Besides its use case in dictating governance decisions, DEX tokens usually seek to capture value for the holders by diverting some of the transaction fees to stakers. ","['https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484']",1110753994.975705,2023-04-19T17:45:07.628Z
yield-farming,Yield Farming,10739612399.73941,-4.273574861520455,"Yield farming is the act of staking or lending your assets in yield-farming protocols to earn a reward, usually in the form of the protocol’s governance token. For decentralized exchanges, yield farmers usually provide a pair of assets as liquidity for the exchange. They will then receive LP tokens, which represent their share of the liquidity pool and these can then be staked to yield-farm the exchange’s native token. Some protocols also offer single-sided staking, where only one particular asset is required to begin yield farming.","['https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139']",958563568.3772391,2023-04-19T17:45:18.184Z
metaverse,Metaverse,9618201640.67879,3.5433903775638327,The metaverse refers to a digital world where participants can interact with each other in a shared virtual reality.,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/878/small/decentraland-mana.png?1550108745']",1084571155.9255867,2023-04-19T17:45:00.484Z
automated-market-maker-amm,Automated Market Maker (AMM),7922744851.083511,-4.421392070550103,"Automated market makers (AMMs) are a mechanism used by most decentralized exchanges to facilitate permissionless trading. AMMs make use of liquidity pools containing 2 or more assets, and prices are derived based on the proportion of each asset in that pool as well as the mathematical function used. Orders through an AMM are executed automatically via a smart contract that will calculate the trade prices algorithmically, including any slippage from the trade execution.","['https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604', 'https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484', 'https://assets.coingecko.com/coins/images/12632/small/pancakeswap-cake-logo_%281%29.png?1629359065']",476345027.2778331,2023-04-19T17:45:17.041Z
play-to-earn,Play To Earn,7056306085.567226,-5.666872169259032,"Play to Earn games are built on the blockchain, giving players full control over their gaming accounts and related assets, which they can sell on exchanges or secondary marketplaces.","['https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/878/small/decentraland-mana.png?1550108745', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",1211388049.2322516,2023-04-19T17:45:09.214Z
storage,Storage,6684589384.316892,9.692230217485948,"Storage protocols allow users to store their data on the blockchain network in a decentralized manner. This negates the need for a centralized storage host such as Amazon, OneDrive, DropBox, and others. This removes the issue of a single point of failure. Decentralized servers make use of independent nodes which in turn use spare storage space on computers. Users are able to rent out their spare storage on  In exchange for storage space, users are able to use a storage protocol’s token to pay for the service.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/4343/small/oRt6SiEN_400x400.jpg?1591059616']",590158086.3262036,2023-04-19T17:45:19.170Z
privacy-coins,Privacy Coins,6637083069.370102,-3.960412538765822,"Privacy coins are cryptocurrencies which allow users to conduct transactions privately and anonymously. This ensures the identity of the parties involved are kept private, and ensures the transactions are untraceable.This is done by hiding the origin and destination of transactions. In some cases, multiple transactions are mixed together in order to make onchain analysis tougher. ","['https://assets.coingecko.com/coins/images/69/small/monero_logo.png?1547033729', 'https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/14051/small/Mask_Network.jpg?1614050316']",411081097.7927446,2023-04-19T17:45:22.126Z
oracle,Oracle,5166336340.470335,-2.994161161854545,"Oracles are used by protocols in their smart contracts in order to obtain external data. This allows the closed-off blockchain environment to communicate with data points on the outside world. For example, a protocol offering synthetic Nasdaq-listed stock on the blockchain will need to pull external data from the stock market. With an oracle, the protocol will be able to do so. ","['https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/9545/small/Band_token_blue_violet_token.png?1625881431', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916']",633804296.9722599,2023-04-19T17:45:20.484Z
wrapped-tokens,Wrapped-Tokens,4551977638.798452,-0.8755997346248392,"Wrapped tokens offer a way to circumvent the lack of interoperability between different blockchains. The wrapping of a token happens when the original asset is put into a “wrapper” and deployed on a different blockchain. With it being wrapped, the cryptocurrency can now be used on a blockchain where it previously wasn’t available. One example of a wrapped token would be Wrapped Bitcoin (WBTC). It is an ERC-20 version of Bitcoin, which allows it to be used on protocols based on Ethereum. Watch this video to learn more about Wrapped tokens.","['https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594', 'https://assets.coingecko.com/coins/images/11370/small/Bitcoin.jpg?1628072791']",1705295744.2227013,2023-04-19T17:45:05.498Z
liquid-staking-governance-tokens,Liquid Staking Governance Tokens,4238735694.362031,-7.050813720316156,,"['https://assets.coingecko.com/coins/images/13573/small/Lido_DAO.png?1609873644', 'https://assets.coingecko.com/coins/images/2090/small/rocket_pool_%28RPL%29.png?1637662441', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947']",221047989.3833875,2023-04-19T17:45:29.410Z
finance-banking,Finance / Banking,3893132673.838528,-5.062869777706895,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/10643/small/ceth2.JPG?1581389598', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871']",247345804.16348165,2023-04-19T17:45:06.385Z
internet-of-things-iot,Internet of Things (IOT),3495546943.426937,-5.022107027613489,"The Internet of Things (IoT) ecosystem consists of interconnected computing devices, with the ability to transfer data over a network without the need for any human interaction. Cryptocurrencies in the IoT ecosystem are designed to facilitate the exchange of data and payment information with other IoT devices.","['https://assets.coingecko.com/coins/images/1167/small/VET_Token_Icon.png?1680067517', 'https://assets.coingecko.com/coins/images/692/small/IOTA_Swirl.png?1604238557', 'https://assets.coingecko.com/coins/images/13876/small/JASMY200x200.jpg?1612473259']",230010227.38229385,2023-04-19T17:45:06.958Z
decentralized-derivatives,Derivatives,3399291660.3831663,-1.4535585415457126,"Derivatives are contracts whose values are derived from other underlying assets such as stocks, commodities, currencies, indexes, bonds, or interest rates. Each type of derivative, whether futures, options or swaps serves a different purpose, and each investor buys or sells them for various reasons. Some of the reasons investors trade derivatives are to hedge themself against the volatility of the underlying asset, speculate on the directional movement of the underlying asset, or leverage their holdings. Derivatives are extremely risky, and one must be equipped with strong financial knowledge and strategies when trading them.
","['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360']",551198398.2397095,2023-04-19T17:45:02.989Z
lending-borrowing,Lending/Borrowing,3397373054.2951365,-7.313564257573685,"Lending/borrowing protocols allow users to offer crypto loans by staking their assets in them without the need for a bank account. In return for lending their assets, users are given rewards, usually in the form of the protocol’s native token. These products can be split between centralized and decentralized services. Centralized protocols require customers to undergo a Know-Your-Customer (KYC) process, while decentralized ones merely require users to have a compatible web3 wallet.","['https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871']",277358371.0677387,2023-04-19T17:45:04.962Z
asset-backed-tokens,Asset-backed Tokens,3360087649.4721794,-4.229531034144442,,"['https://assets.coingecko.com/coins/images/9519/small/paxg.PNG?1568542565', 'https://assets.coingecko.com/coins/images/10643/small/ceth2.JPG?1581389598', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656']",115208976.4355758,2023-04-19T17:45:22.740Z
artificial-intelligence,Artificial Intelligence (AI),3020440897.5357747,0.3981781661897098,"Artificial Intelligence (AI) tokens are cryptocurrencies that power AI-related projects, such as AI-powered portfolio management, image generation, path finding, and more. ","['https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934', 'https://assets.coingecko.com/coins/images/2138/small/singularitynet.png?1548609559', 'https://assets.coingecko.com/coins/images/5681/small/Fetch.jpg?1572098136']",422854568.9055306,2023-04-19T17:45:30.515Z
sports,Sports,2099977375.7260184,-2.3082472894437345,"These projects have introduced a new way for sports teams to engage with their fans and has made it easier for ordinary sports fans to show their support to their favorite teams and players. 
With Fan Tokens, fans have the power to influence their favourite sports teams in minor decisions and enter an exclusive club of like-minded supporters and VIP benefits. Sports NFTs have also allowed fans to access a smoother and more permanent form of collectible.
","['https://assets.coingecko.com/coins/images/13446/small/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776', 'https://assets.coingecko.com/coins/images/8834/small/CHZ_Token_updated.png?1675848257', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000']",333601046.7810463,2023-04-19T17:45:23.474Z
seigniorage,Seigniorage,1955537213.2604268,-3.0678349436057815,,"['https://assets.coingecko.com/coins/images/13422/small/FRAX_icon.png?1679886922', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/12681/small/UST.png?1653548090']",59661109.79845794,2023-04-19T17:45:01.245Z
decentralized-perpetuals,Perpetuals,1945612004.1756814,-4.785607471819522,,"['https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/13703/small/gfarm_v2.png?1611035398']",303713250.6415642,2023-04-19T17:45:03.689Z
analytics,Analytics,1610615454.5856826,-7.484408812104788,"These projects provide advanced insights and charting tools to track historical token prices, real-time trades and volume. Other more advanced features include impermanent loss calculation and data querying. Some of these projects may require you to hold a certain number of tokens to access the full version of their product suite.","['https://assets.coingecko.com/coins/images/13397/small/Graph_Token.png?1608145566', 'https://assets.coingecko.com/coins/images/14168/small/covalent-cqt.png?1624545218', 'https://assets.coingecko.com/coins/images/11603/small/dext.png?1605790188']",132275910.99031724,2023-04-19T17:45:19.877Z
masternodes,Masternodes,1527139702.7701523,-5.514907332088533,"Masternodes are needed to verify new blocks in certain cryptocurrencies. However, unlike other nodes, they do not add new blocks to the network. In order to maintain a masternode, one would need to hold a certain amount of the protocol’s cryptocurrency, and it’s usually a significant amount. In return for operating a masternode, the operator is rewarded with the native currency.","['https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/5111/small/Beldex.png?1559189036', 'https://assets.coingecko.com/coins/images/5163/small/Flux_symbol_blue-white.png?1617192144']",128742658.85091951,2023-04-19T17:45:21.511Z
olympus-pro,Olympus Pro,1366638677.5268993,-6.022694938984518,"Olympus Pro aims to help protocols acquire their own liquidity, and to also lock the liquidity within the protocol. Instead of staking liquidity provider (LP) tokens in exchange for governance tokens, users will now be able to use their LP tokens to purchase the governance tokens at a discount. The protocol will not sell these LP tokens, and this means the liquidity is locked. This is known as a process called bonding.","['https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/18024/small/synapse_social_icon.png?1663921797', 'https://assets.coingecko.com/coins/images/15861/small/abracadabra-3.png?1622544862']",160322473.7649569,2023-04-19T17:45:09.502Z
synthetic-assets,Synthetic Issuer,1206835375.673669,3.9235138804907246,,"['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916', 'https://assets.coingecko.com/coins/images/8713/small/STP.png?1560262664']",167352932.81211278,2023-04-19T17:45:08.007Z
yield-aggregator,Yield Aggregator,1179774834.267647,-5.615977737019259,"Yield aggregators are protocols that collate multiple yield farms in a single place in order to ease the process of farming. With many new farms popping up on the market, it can be tedious for one to hop from farm to farm. However, with yield aggregators, that isn’t necessary as it’s done automatically in order to maximize the yield generated for users.","['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/11849/small/yearn-finance-yfi.png?1676174746', 'https://assets.coingecko.com/coins/images/12738/small/AlphaToken_256x256.png?1617160876']",130887759.9667261,2023-04-19T17:45:06.113Z
tokenized-gold,Tokenized Gold,1013576013.0786695,-0.21229792470784348,,"['https://assets.coingecko.com/coins/images/9519/small/paxg.PNG?1568542565', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/10730/small/pmgt_logo_256x256.png?1582668331']",25852583.419008665,2023-04-19T17:45:27.052Z
