id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
wallets,Wallets,912551484.9461293,-4.189641518465866,,"['https://assets.coingecko.com/coins/images/11085/small/Trust.png?1588062702', 'https://assets.coingecko.com/coins/images/13905/small/sfp.png?1660381192', 'https://assets.coingecko.com/coins/images/17117/small/logo.png?1626412904']",61817391.08806509,2023-04-19T17:45:28.252Z
insurance,Insurance,655669610.5665756,-5.857241738192091,,"['https://assets.coingecko.com/coins/images/11810/small/NXMmain.png?1674799570', 'https://assets.coingecko.com/coins/images/10354/small/logo-grey-circle.png?1614910406', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594']",10285992.466064451,2023-04-19T17:45:01.516Z
yearn-yfi-partnerships-mergers,Yearn Ecosystem,621752051.8896651,-4.473390688759005,"The Yearn Ecosystem is a suite of Decentralized Finance (DeFi) products under the yearn umbrella. These projects range from lending and borrowing protocols such as CREAM, to automated market makers (AMM) like Sushi. 

Any changes that are to be implemented in the Yearn Ecosystem are decided by the DAO, consisting of holders of the Yearn Finance (YFI) token. 
","['https://assets.coingecko.com/coins/images/11849/small/yearn-finance-yfi.png?1676174746', 'https://assets.coingecko.com/coins/images/12271/small/512x512_Logo_no_chop.png?1606986688', 'https://assets.coingecko.com/coins/images/13725/small/xsushi.png?1612538526']",119600169.99439129,2023-04-19T17:45:00.868Z
metagovernance,Metagovernance,570866114.240616,-4.925148037133846,Metagovernance refers to projects or protocols that primarily hold DAO tokens and actively participates in the governance process of those DAOs.,"['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/25942/small/logo.png?1654784187', 'https://assets.coingecko.com/coins/images/26745/small/redacted_v2.jpg?1660011507']",7142410.725576966,2023-04-19T17:45:27.328Z
nft-marketplace,NFT Marketplace,542763870.1614008,-1.8385687902093588,,"['https://assets.coingecko.com/coins/images/28453/small/blur.png?1670745921', 'https://assets.coingecko.com/coins/images/22173/small/circle-black-256.png?1641173160', 'https://assets.coingecko.com/coins/images/14040/small/SuperVerse_Logo_200x200.png?1669963064']",231334738.05660176,2023-04-19T17:45:03.386Z
mev-protection,MEV Protection,504030983.8853073,-5.003979902829428,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/15985/small/ATA.jpg?1622535745', 'https://assets.coingecko.com/coins/images/6769/small/Screenshot_33.png?1581942253']",13642245.608523654,2023-04-19T17:45:08.926Z
rebase-tokens,Rebase Tokens,462786576.3810551,-0.4297813516581707,"Rebase tokens are cryptocurrencies that are usually pegged to a certain value, and they control their prices by algorithmically adjusting their token’s circulating supply.  ","['https://assets.coingecko.com/coins/images/14483/small/token_OHM_%281%29.png?1628311611', 'https://assets.coingecko.com/coins/images/20040/small/LPK15ZOW_400x400.jpg?1636425070', 'https://assets.coingecko.com/coins/images/19947/small/sb.png?1636337110']",2231595.6909812237,2023-04-19T17:45:17.842Z
prediction-markets,Prediction Markets,441523813.3644131,-5.398461475425247,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/309/small/REP.png?1596339859', 'https://assets.coingecko.com/coins/images/13779/small/sx.png?1636034699']",9302458.78054232,2023-04-19T17:45:05.226Z
decentralized-options,Options,424681420.5369789,-4.4378798591357445,,"['https://assets.coingecko.com/coins/images/15823/small/RBN_64x64.png?1633529723', 'https://assets.coingecko.com/coins/images/7805/small/Hxro_Profile_Transparent.png?1622443308', 'https://assets.coingecko.com/coins/images/16652/small/DPX_%281%29.png?1624598630']",3449344.4223239673,2023-04-19T17:45:17.370Z
music,Music,407178242.33004934,-9.56105773660387,"Cryptocurrency projects that are related to music is aimed at disrupting the record publishing industry. The goal is to simplify the process of tracking, collecting, and distributing song royalties to musicians in a decentralized manner. Fans are also able to directly support their favorite artists directly without going through an intermediary.","['https://assets.coingecko.com/coins/images/12913/small/AudiusCoinLogo_2x.png?1603425727', 'https://assets.coingecko.com/coins/images/16548/small/opulous.PNG?1624418744', 'https://assets.coingecko.com/coins/images/983/small/Viberate.png?1547034873']",36769610.142637774,2023-04-19T17:45:06.671Z
move-to-earn,Move To Earn,374701547.6005145,-1.5804724223231068,,"['https://assets.coingecko.com/coins/images/23597/small/gmt.png?1644658792', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000', 'https://assets.coingecko.com/coins/images/25015/small/801485424e1f49bc8d0facff9287eb9b_photo.png?1649827972']",85243065.81752242,2023-04-19T17:45:26.763Z
fan-token,Fan Token,370428837.84826005,-0.49979616267314936,"Fan tokens let sporting organizations and other celebrities engage with their communities, where holders can access exclusive benefits.","['https://assets.coingecko.com/coins/images/11663/small/og.jpg?1592838119', 'https://assets.coingecko.com/coins/images/11693/small/Barca-10.png?1604736023', 'https://assets.coingecko.com/coins/images/15799/small/mJgwTHzCVVCJlqo1tF0NWP57igOYSXr5k1Vqvomd.png?1621929124']",283280641.93413275,2023-04-19T17:45:08.317Z
guild-scholarship,Guild and Scholarship,216322279.66843906,-6.57073130420856,Guilds are decentralized autonomous organizations (DAOs) that invests in NFTs like game assets and rent them out to players. Players who receive rented game items are known as scholars and can be said to receive a scholarship. Guilds are an important component in the play to earn (p2e) ecosystem as these games require an upfront investment capital for players to participate in. Axie Infinity brought the popular model of play to earn and guilds which is not mainstay in the entire blockchain industry.,"['https://assets.coingecko.com/coins/images/19304/small/Db4XqML.png?1634972154', 'https://assets.coingecko.com/coins/images/17358/small/le1nzlO6_400x400.jpg?1632465691', 'https://assets.coingecko.com/coins/images/20933/small/guildfi-logo-200.png?1638003537']",19167937.502415616,2023-04-19T17:45:23.767Z
gambling,Gambling,190741800.12609524,-4.001524297744955,,"['https://assets.coingecko.com/coins/images/761/small/FUN.png?1678773913', 'https://assets.coingecko.com/coins/images/24552/small/unziL6wO_400x400.jpg?1648134494', 'https://assets.coingecko.com/coins/images/21173/small/Decentral_Games_Logo-1.png?1638441275']",3346487.21559477,2023-04-19T17:45:07.294Z
eco-friendly,Environment,157002059.62758198,1.456855558796682,,"['https://assets.coingecko.com/coins/images/10886/small/R9gQTJV__400x400.png?1585604557', 'https://assets.coingecko.com/coins/images/19240/small/bct_exchange_enhanced.png?1641441498', 'https://assets.coingecko.com/coins/images/18763/small/brkl.png?1633356263']",2469377.891882136,2023-04-19T17:45:10.425Z
synths,Synths,102505585.15571398,-0.8716472409191239,,"['https://assets.coingecko.com/coins/images/5013/small/sUSD.png?1616150765', 'https://assets.coingecko.com/coins/images/8843/small/sETH.png?1616150207', 'https://assets.coingecko.com/coins/images/8838/small/sBTC.png?1616149734']",3861630.2883334965,2023-04-19T17:45:18.502Z
tourism,Tourism,90839273.737775,-7.492822407367067,,"['https://assets.coingecko.com/coins/images/4659/small/qX7fh69Q_400x400-1.jpg?1636680685', 'https://assets.coingecko.com/coins/images/3014/small/Travala.png?1558020611', 'https://assets.coingecko.com/coins/images/1357/small/LOC_Transparent_New.png?1579491094']",3358231.456304442,2023-04-19T17:45:23.035Z
social-money,Social Money,79549562.86354971,-3.766060066301396,,"['https://assets.coingecko.com/coins/images/12843/small/image.png?1611212077', 'https://assets.coingecko.com/coins/images/11797/small/WHALE.png?1595004706', 'https://assets.coingecko.com/coins/images/14815/small/gcr.jpeg?1641461197']",1422650.0251472176,2023-04-19T17:45:20.777Z
defi-index,DeFi Index,74053661.61483154,-6.143000631773705,,"['https://assets.coingecko.com/coins/images/12465/small/defi_pulse_index_set.png?1600051053', 'https://assets.coingecko.com/coins/images/24483/small/icETH-token-logo.png?1647826356', 'https://assets.coingecko.com/coins/images/14392/small/ETH2x-FLI_%281%29.png?1615875910']",735469.4847165337,2023-04-19T17:45:00.113Z
ohm-fork,Ohm Fork,66747215.553595796,-0.7451434756288756,,"['https://assets.coingecko.com/coins/images/19947/small/sb.png?1636337110', 'https://assets.coingecko.com/coins/images/19169/small/Klima-Token.png?1680142793', 'https://assets.coingecko.com/coins/images/18126/small/time.PNG?1630621941']",22959.605669041735,2023-04-19T17:45:10.148Z
kommunitas,Kommunitas Launchpad,42052005.479280666,1.409872120981791,,"['https://assets.coingecko.com/coins/images/24059/small/logo_gg.png?1648630827', 'https://assets.coingecko.com/coins/images/23275/small/fyn.png?1643526250', 'https://assets.coingecko.com/coins/images/18352/small/fav.png?1631604240']",5814733.471001258,2023-04-19T17:45:28.514Z
try-stablecoins,TRY Stablecoin,24517102.49217147,-2.7428005618228535,,['https://assets.coingecko.com/coins/images/10119/small/JBs9jiXO_400x400.jpg?1642668342'],1511.302423990503,2023-04-19T17:45:28.789Z
jpy-stablecoin,JPY Stablecoin,17132312.472260486,-1.590762119306865,,"['https://assets.coingecko.com/coins/images/14191/small/icon_gyen_200_200.png?1614843343', 'https://assets.coingecko.com/coins/images/25971/small/2023jpyc.png?1675935375']",177010.32258604313,2023-04-19T17:45:29.697Z
idr-stablecoin,IDR Stablecoin,14566515.774446746,-1.1142468006029038,,"['https://assets.coingecko.com/coins/images/9441/small/57421944_1371636006308255_3647136573922738176_n.jpg?1567462531', 'https://assets.coingecko.com/coins/images/21126/small/XIDR_Logo_256_X_256.png?1638343133']",702264.7752826497,2023-04-19T17:45:30.023Z
farming-as-a-service-faas,Farming-as-a-Service (FaaS),8743047.309023349,-3.0489923279491693,,"['https://assets.coingecko.com/coins/images/23551/small/Logo-Digits-DAO-Icon-01.jpg?1644462126', 'https://assets.coingecko.com/coins/images/21221/small/2022-07-13_18.49.44.jpg?1657709418', 'https://assets.coingecko.com/coins/images/25582/small/7zyskNC.png?1652767188']",189010.9405809752,2023-04-19T17:45:24.112Z
optimism-ecosystem,Optimism Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",,2023-03-17T09:10:43.964Z
aptos-ecosystem,Aptos Ecosystem,,,,"['https://assets.coingecko.com/coins/images/26455/small/aptos_round.png?1666839629', 'https://assets.coingecko.com/coins/images/12632/small/pancakeswap-cake-logo_%281%29.png?1629359065', 'https://assets.coingecko.com/coins/images/11085/small/Trust.png?1588062702']",,2023-03-17T09:10:43.626Z
canto-ecosystem,Canto Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/1481/small/cosmos_hub.png?1555657960']",,2023-03-17T09:10:43.271Z
multversx-ecosystem,MultiversX Ecosystem,,,,"['https://assets.coingecko.com/coins/images/12335/small/egld-token-logo.png?1673490885', 'https://assets.coingecko.com/coins/images/1824/small/300x300_logo.png?1570520533', 'https://assets.coingecko.com/coins/images/16813/small/zpay.png?1647693485']",,2023-03-17T09:10:42.968Z
dfinity-ecosystem,Internet Computer Ecosystem,,,,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/25788/small/4xBAWRCo_400x400.png?1653883870']",,2023-03-17T09:10:42.659Z
velas-ecosystem,Velas Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",,2023-03-17T09:10:42.368Z
metis-ecosystem,Metis Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/4943.png?1636636734']",,2023-03-17T09:10:42.040Z
arbitrum-nova-ecosystem,Arbitrum Nova Ecosystem,,,,"['https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/4943.png?1636636734', 'https://assets.coingecko.com/coins/images/16547/small/photo_2023-03-29_21.47.00.jpeg?1680097630']",,2023-03-17T09:10:41.636Z
cronos-ecosystem,Cronos Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",,2023-03-17T09:10:41.336Z
algorand-ecosystem,Algorand Ecosystem,,,,"['https://assets.coingecko.com/coins/images/4380/small/download.png?1547039725', 'https://assets.coingecko.com/coins/images/16548/small/opulous.PNG?1624418744', 'https://assets.coingecko.com/coins/images/5290/small/buying_200x200.png?1628587856']",,2023-03-17T09:10:40.985Z
xdc-ecosystem,XDC Ecosystem,,,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/5164/small/EURS_300x300.png?1550571779', 'https://assets.coingecko.com/coins/images/10849/small/IMG_4307.jpg?1585628922']",,2023-03-17T09:10:40.582Z
ethereum-ecosystem,Ethereum Ecosystem,,,,"['https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850']",,2023-03-17T09:10:40.237Z
tezos-ecosystem,Tezos Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/976/small/Tezos-logo.png?1547034862', 'https://assets.coingecko.com/coins/images/19171/small/YOU_Youves.png?1634611340']",,2023-03-17T09:10:39.202Z
oec-ecosystem,OEC Ecosystem,,,,"['https://assets.coingecko.com/coins/images/13708/small/WeChat_Image_20220118095654.png?1642471094', 'https://assets.coingecko.com/coins/images/22087/small/1_Wyot-SDGZuxbjdkaOeT2-A.png?1640764238', 'https://assets.coingecko.com/coins/images/12271/small/512x512_Logo_no_chop.png?1606986688']",,2023-03-17T09:10:38.852Z
xdai-ecosystem,Gnosis Chain Ecosystem,,,"Formerly the xDai Chain, The Gnosis chain is a Layer 2 scaling solution for Ethereum but uses a different consensus algorithm - Proof of Stake (PoS) and Proof of Stake DAO (POSDAO). It is designed to be more efficient than Ethereum, with higher transaction throughput (70 transactions/second) and has a much lower transaction fee.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",,2023-03-17T09:10:38.519Z
cardano-ecosystem,Cardano Ecosystem,,,,"['https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860', 'https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/13256/small/api3.jpg?1606751424']",,2023-03-17T09:10:38.134Z
kardiachain-ecosystem,KardiaChain Ecosystem,,,,"['https://assets.coingecko.com/coins/images/7942/small/kai.png?1647079540', 'https://assets.coingecko.com/coins/images/15321/small/mydefi.PNG?1620512455', 'https://assets.coingecko.com/coins/images/13729/small/nami_logo_256.png?1611224464']",,2023-03-17T09:10:37.796Z
iotex-ecosystem,IoTeX Ecosystem,,,,"['https://assets.coingecko.com/coins/images/3334/small/iotex-logo.png?1547037941', 'https://assets.coingecko.com/coins/images/19586/small/244800308_116216454152265_6257676145772128053_n.png?1635472714', 'https://assets.coingecko.com/coins/images/19135/small/gft.png?1635004303']",,2023-03-17T09:10:37.464Z
dot-ecosystem,Polkadot Ecosystem,,,"Polkadot is a blockchain protocol designed to support multiple purpose-built blockchains under one unified network. Polkadot’s infrastructure begins with the relay chain, which acts as the central chain. Each chain that runs on Polkadot is called a parachain as they run parallel to the main relay chain, and is built on top of the relay chain. Besides parachains, projects can participate in the Polkadot ecosystem for a shorter fixed period of time through parathreads. Blockchains built on top of Polkadot’s own relay chain are also interoperable with blockchains that have vastly different technology stacks such as Ethereum and Bitcoin through bridges.","['https://assets.coingecko.com/coins/images/12171/small/polkadot.png?1639712644', 'https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/9568/small/m4zRhP5e_400x400.jpg?1576190080']",,2023-03-17T09:10:37.149Z
moonriver-ecosystem,Moonriver Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389']",,2023-03-17T09:10:36.821Z
daomaker-ecosystem,DaoMaker Ecosystem,,,,"['https://assets.coingecko.com/coins/images/13915/small/4.png?1612838831', 'https://assets.coingecko.com/coins/images/14375/small/alice_logo.jpg?1615782968', 'https://assets.coingecko.com/coins/images/15857/small/logoWhiteX.jpg?1666230966']",,2023-03-17T09:10:36.456Z
arbitrum-ecosystem,Arbitrum Ecosystem,,,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/4943.png?1636636734']",,2023-03-17T09:10:36.096Z
celo-ecosystem,Celo Ecosystem,,,,"['https://assets.coingecko.com/coins/images/11090/small/InjXBNx9_400x400.jpg?1674707499', 'https://assets.coingecko.com/coins/images/4324/small/U85xTl2.png?1608111978', 'https://assets.coingecko.com/coins/images/17117/small/logo.png?1626412904']",,2023-03-17T09:10:35.706Z
step-network-ecosystem,Step Network Ecosystem,,,,"['https://assets.coingecko.com/coins/images/25015/small/801485424e1f49bc8d0facff9287eb9b_photo.png?1649827972', 'https://assets.coingecko.com/coins/images/28435/small/PRIMAL_ICON_200px.jpg?1670567426', 'https://assets.coingecko.com/coins/images/27815/small/kcal.png?1666281474']",,2023-03-17T09:10:35.382Z
near-protocol-ecosystem,Near Protocol Ecosystem,,,"NEAR is a sharded, developer-friendly, proof-of-stake public blockchain. It is designed to compete with Ethereum by providing a similar experience with decentralized applications and smart contracts, but with lower fees and higher throughput. The blockchain’s native token, NEAR, is used to pay for transactions and storing data on the blockchain. Smart contract developers receive a portion of the transaction fees generated by their contracts, while the remainder is burnt. This creates deflationary pressure on NEAR, making it more valuable as more transactions are performed.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/4943.png?1636636734']",,2023-03-17T09:10:35.016Z
fantom-ecosystem,Fantom Ecosystem,,,"FANTOM is a new DAG-based smart contract platform that intends to solve the scalability issues of existing public distributed ledger technologies.
The platform intends to distinguish itself from the traditional block ledger-based storage infrastructure by attempting to employ an improved version of existing DAG-based protocols. Fantom adopts a new protocol known as the “Lachesis Protocol” to maintain consensus. This protocol is intended to be integrated into the Fantom Opera Chain. The aim is to allow applications built on Fantom to enjoy instant transactions and near zero transaction costs for all users.
","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9576/small/BUSD.png?1568947766']",,2023-03-17T09:10:34.559Z
heco-chain-ecosystem,HECO Chain Ecosystem,,,,"['https://assets.coingecko.com/coins/images/13775/small/mdex.png?1611739676', 'https://assets.coingecko.com/coins/images/12704/small/token.png?1601876182', 'https://assets.coingecko.com/coins/images/2346/small/SWFTCoin.jpg?1618392022']",,2023-03-17T09:10:34.169Z
zilliqa-ecosystem,Zilliqa Ecosystem,,,,"['https://assets.coingecko.com/coins/images/2687/small/Zilliqa-logo.png?1547036894', 'https://assets.coingecko.com/coins/images/12832/small/StraitsX_Singapore_Dollar_%28XSGD%29_Token_Logo.png?1633936813', 'https://assets.coingecko.com/coins/images/15857/small/logoWhiteX.jpg?1666230966']",,2023-03-17T09:10:33.887Z
polygon-ecosystem,Polygon Ecosystem,,,"Polygon, formerly known as Matic, was originally meant to be a Layer-2 scaling solution for Ethereum to improve transaction throughput and speed. However, it has since become more popular as a stand-alone blockchain, with its own native projects and decentralized applications. Major DeFi protocols such as Aave and Curve have also found second homes on Polygon. Unlike Ethereum, Polygon operates on Proof-of-Stake (PoS) in which network participants can stake the network’s native MATIC tokens to validate transactions and participate in voting and other governance decisions. Polygon also hosts its own bridge that allows users to transfer assets from Ethereum to Polygon and vice versa.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389']",,2023-03-17T09:10:32.969Z
terra-ecosystem,Terra Ecosystem,,,"Terra is a blockchain network that builds on the Tendermint consensus (Proof-of-Stake) and the Cosmos SDK toolkit. Terra’s network token is LUNA which powers the entire ecosystem. Unlike most blockchains, Terra’s ecosystem includes a native algorithmic stablecoin, TerraUSD (UST). A decentralized network with its own decentralized currency is a very attractive thesis for both users and developers. More dApps are being built on Terra, especially DeFi protocols which are now commonly known as TeFi.","['https://assets.coingecko.com/coins/images/8284/small/01_LunaClassic_color.png?1653547790', 'https://assets.coingecko.com/coins/images/12681/small/UST.png?1653548090', 'https://assets.coingecko.com/coins/images/26309/small/Astroport_Circle_Icon_400x400.png?1681200454']",,2023-03-17T09:10:32.057Z
avalanche-ecosystem,Avalanche Ecosystem,,,"Avalanche is a smart contract platform that allows users to create their own multi-purpose blockchains or decentralized applications (dApps). Their mainnet was launched in September 2020 and has since become a major hub of activity for DeFi and NFTs. In 2021, they announced their Avalanche Rush incentives program to introduce more applications and to promote further growth of their ecosystem. The Avalanche chain is centered around 3 main blockchains - the P-Chain, X-Chain and C-Chain. The C-Chain is Avalanche’s EVM implementation, which hosts various applications and smart contracts. Users can access Avalanche through centralized exchanges, the official Avalanche bridge or via Celer’s cBridge.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389']",,2023-03-17T09:10:31.610Z
solana-ecosystem,Solana Ecosystem,,,"Solana is a general purpose blockchain similar to Ethereum. The underlying architecture is different, such that developers have to write applications using Rust instead of Solidity or Vyper. However, this may soon change with the introduction of the Neon EVM solution on Solana. End user applications as of now include decentralized finance (DeFi), non-fungible tokens (NFT), marketplaces, games, and more. One of its biggest features is its scalability in which Solana is able to process over 700,000 transactions per second. Its high throughput capability appeals to high frequency traders, which is spearheaded by FTX and Alameda Research. The first use case for DeFi applications on Solana is Serum, built by the team behind FTX.","['https://assets.coingecko.com/coins/images/4128/small/solana.png?1640133422', 'https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/13397/small/Graph_Token.png?1608145566']",,2023-03-17T09:10:31.171Z
cosmos-ecosystem,Cosmos Ecosystem,,,"Cosmos focuses on blockchain interoperability, working towards the vision of building the “Internet of Blockchains.”","['https://assets.coingecko.com/coins/images/1481/small/cosmos_hub.png?1555657960', 'https://assets.coingecko.com/coins/images/7310/small/cro_token_logo.png?1669699773', 'https://assets.coingecko.com/coins/images/8284/small/01_LunaClassic_color.png?1653547790']",,2023-03-17T09:10:30.821Z
harmony-ecosystem,Harmony Ecosystem,,,"Harmony is a blockchain platform that is designed to act as a bridge between scalability and interoperability. Its focus is on processing speed and validation of blocks. It can be used to create decentralized applications (DApps), and is currently focused on random state sharding. This will then allow the creation of blocks within seconds.","['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912']",,2023-03-17T09:10:30.480Z
yearn-vault-tokens,Yearn Vault Tokens,0.0,0,,"['https://assets.coingecko.com/coins/images/27623/small/st-yCRV-128-0x27B5739e22ad9033bcBf192059122d163b60349D.png?1674200862', 'https://assets.coingecko.com/coins/images/28779/small/yvUSDC-128-0xe2F6b9773BF3A015E2aA70741Bde1498bdB9425b.png?1674182395', 'https://assets.coingecko.com/coins/images/15152/small/yvBOOST.png?1619978216']",508.5204478825526,2023-04-19T17:45:30.285Z
aave-tokens,Aave Tokens,0.0,0,,"['https://assets.coingecko.com/coins/images/11619/small/aETH_2x.png?1591976597', 'https://assets.coingecko.com/coins/images/11674/small/aUSDC.png?1592546449', 'https://assets.coingecko.com/coins/images/10843/small/aDAI.png?1584698791']",4333436.412652093,2023-04-19T17:45:18.811Z
